"Rk","GA","GD","Pts","Pts/G","xG","xGA","xGD","xGD/90","Last 5","Attendance","Squad","Top Team Scorer","Goalkeeper","Country","LgRk","MP","W","D","L","GF"
"77","59","-18","33","0.97","45.3","51.5","-6.3","-0.18","D L D D W","27052","Stuttgart","Sasa Kalajdzic - 6","Florian M�ller","GER","15","34","7","12","15","41"
"78","68","-27","36","0.97","37.3","66.6","-29.3","-0.79","L L L L W","6380","Spezia","Daniele Verde - 8","Ivan Provedel","ITA","15","37","10","6","21","41"
"79","63","-29","36","0.97","38.7","47.5","-8.9","-0.24","W L L D W","12712","Mallorca","Vedat Muriqi Salva Sevilla - 5","Manolo Reina","ESP","17","37","9","9","19","34"
"80","67","-30","36","0.97","42.7","51","-8.3","-0.22","W D L W L","10425","Clermont Foot","Mohamed Bayo - 13","Ouparine Djoco","FRA","16","37","9","9","19","37"
"81","71","-34","33","0.97","34.1","55.3","-21.2","-0.62","W W D L L","23500","Hertha BSC","Stevan Joveti? - 6","Alexander Schwolow","GER","16","34","9","6","19","37"
"82","62","-28","35","0.95","42.5","51.7","-9.1","-0.25","W L L L D","12393","Lorient","Terem Moffi - 8","Paul Nardi","FRA","17","37","8","11","18","34"
"83","78","-38","35","0.95","45.8","69.1","-23.4","-0.63","D L L L D","36308","Leeds United","Raphael Dias Belloli - 10","Illan Meslier","ENG","17","37","8","11","18","40"
"84","50","-18","34","0.94","35.9","53.6","-17.8","-0.49","W W W L L","19163","Burnley","Maxwel Cornet - 8","Nick Pope","ENG","18","36","7","13","16","32"
"85","59","-17","33","0.92","34.5","53.3","-18.8","-0.52","L L D W L","8756","Sampdoria","Francesco Caputo - 11","Emil Audero","ITA","16","36","9","6","21","42"
"86","74","-27","32","0.86","54","53.8","0.3","0.01","L D W L W","14961","Levante","Jos� Luis Morales - 13","C�rdenas","ESP","19","37","7","11","19","47"
"87","64","-29","31","0.84","29.8","58.8","-29.1","-0.79","L L D W W","14413","Metz","Nicolas de Pr�ville - 5","Alexandre Oukidja","FRA","18","37","6","13","18","35"
"88","64","-33","31","0.84","36.6","56.7","-20.2","-0.55","L W L W L","10942","Alav�s","Joselu - 14","Fernando Pacheco","ESP","20","37","8","7","22","31"
"89","76","-35","31","0.84","39.4","59.1","-19.6","-0.53","D L L L L","21806","Saint-�tienne","Wahbi Khazri - 10","Paul Bernardoni","FRA","19","37","7","10","20","41"
"90","74","-41","31","0.84","35.9","63.5","-27.6","-0.75","W D W D D","12900","Salernitana","Federico Bonazzoli - 10","Vid Belec","ITA","17","37","7","10","20","33"
"91","53","-26","28","0.82","28.2","62.3","-34.1","-1","L L D L D","16773","Arminia","Masaya Okugawa - 8","Stefan Ortega","GER","17","34","5","13","16","27"
"92","68","-34","29","0.78","37.4","60.8","-23.4","-0.63","W L L D L","9400","Cagliari","Jo�o Pedro - 13","Alessio Cragno","ITA","18","37","6","11","20","34"
"93","59","-32","28","0.76","36.8","50.6","-13.8","-0.37","L W L W L","11628","Genoa","Mattia Destro - 9","Salvatore Sirigu","ITA","19","37","4","16","17","27"
"94","89","-41","28","0.76","41.3","68.5","-27.2","-0.73","D L L L D","22083","Bordeaux","Hwang Ui-jo - 11","Beno�t Costil","FRA","20","37","5","13","19","48"
"95","69","-35","26","0.7","35.4","70.5","-35.1","-0.95","L L L W D","6705","Venezia","Thomas Henry - 9","Sergio Romero","ITA","20","37","6","8","23","34"
"96","75","-42","23","0.62","37.8","64.1","-26.3","-0.71","L L L D L","20614","Watford","Emmanuel Dennis - 10","Ben Foster","ENG","19","37","6","5","26","33"
"97","79","-56","22","0.59","33","73.3","-40.4","-1.09","L L L L D","26826","Norwich City","Teemu Pukki - 11","Tim Krul","ENG","20","37","5","7","25","23"
"98","82","-54","18","0.53","30.7","60.3","-29.6","-0.87","D L D L L","7672","Greuther F�rth","Branimir Hrgota - 9","Sascha Burchert","GER","18","34","3","9","22","28"
